odom_x,odom_y,odom_theta,truth_x,truth_y,truth_theta
4.219088,1.972687,0.259150,-1.780733,0.972621,0.259272
4.219240,1.972727,0.259348,-1.780664,0.972639,0.259362
4.230106,1.975704,0.273860,-1.762013,0.977863,0.284224
4.272497,1.988809,0.317196,-1.714579,0.993043,0.327894
4.323225,2.006814,0.360668,-1.665177,1.011182,0.372795
4.368864,2.025488,0.410558,-1.619590,1.030509,0.422945
4.414502,2.046880,0.460013,-1.573893,1.052619,0.471808
4.460316,2.071107,0.507193,-1.528122,1.077517,0.518540
4.505463,2.097713,0.553103,-1.485387,1.103346,0.566247
4.530252,2.113922,0.606855,-1.468165,1.114898,0.621398
4.532393,2.115458,0.663650,-1.465516,1.116958,0.676265
4.549734,2.129981,0.715441,-1.445418,1.134125,0.730490
4.560217,2.139591,0.781115,-1.437140,1.142076,0.793401
4.579410,2.159868,0.830300,-1.412378,1.168811,0.842467
4.612027,2.197563,0.879236,-1.379004,1.208355,0.888997
4.647082,2.241818,0.918112,-1.344271,1.253089,0.927604
4.680461,2.287453,0.956670,-1.312777,1.297014,0.968864
4.699171,2.315536,1.012820,-1.299248,1.317932,1.030528
4.701172,2.318860,1.085474,-1.298707,1.318829,1.102302
4.701329,2.319166,1.151984,-1.298556,1.319151,1.167185
4.701619,2.319906,1.211606,-1.297435,1.322173,1.223544
4.709423,2.342228,1.241287,-1.286749,1.353045,1.243207
4.728018,2.397101,1.248653,-1.266608,1.412843,1.248758
4.746530,2.452564,1.249099,-1.248111,1.468301,1.249229
4.767622,2.515909,1.250190,-1.227075,1.531572,1.251585
4.788383,2.579074,1.255607,-1.206358,1.594844,1.255764
4.808968,2.642276,1.256668,-1.186045,1.657338,1.259599
4.828175,2.703178,1.272859,-1.167039,1.718532,1.276640
4.846627,2.765182,1.288180,-1.151031,1.772882,1.289060
4.864942,2.827777,1.281259,-1.130242,1.843421,1.278671
4.884063,2.890624,1.270582,-1.111006,1.905994,1.266935
4.903734,2.952365,1.255829,-1.091155,1.967488,1.251515
4.924229,3.013245,1.238578,-1.070331,2.028466,1.234259
4.946054,3.074556,1.221930,-1.048172,2.089963,1.219212
4.966123,3.128806,1.212449,-1.028061,2.143853,1.208865
4.989392,3.189412,1.197724,-1.004442,2.204714,1.195235
5.013891,3.251000,1.188203,-0.979786,2.266284,1.186137
5.038825,3.312136,1.179641,-0.955054,2.326500,1.174975
5.063567,3.370221,1.159026,-0.929604,2.385388,1.156142
5.090487,3.431310,1.155802,-0.902739,2.446384,1.157308
5.117046,3.492176,1.161611,-0.876211,2.507383,1.161838
5.143558,3.553393,1.162727,-0.849816,2.568418,1.164852
5.169430,3.614060,1.171615,-0.824070,2.629164,1.173749
5.194814,3.675037,1.180469,-0.798815,2.690226,1.182840
5.219482,3.735976,1.190663,-0.774678,2.750344,1.195599
5.241939,3.794218,1.212239,-0.752429,2.809012,1.217449
5.263505,3.853948,1.233858,-0.731274,2.868611,1.239589
5.283335,3.913070,1.258107,-0.714224,2.920229,1.261334
5.301412,3.971971,1.284103,-0.694059,2.987059,1.289773
5.318467,4.032663,1.307224,-0.677553,3.047157,1.313903
5.333411,4.091634,1.334487,-0.662784,3.107104,1.339616
5.347732,4.154259,1.354187,-0.650403,3.162138,1.355899
5.361007,4.216945,1.369666,-0.636092,3.230838,1.377142
5.371445,4.273394,1.402239,-0.626013,3.288027,1.410170
5.380479,4.332972,1.433792,-0.617277,3.348724,1.438970
5.388479,4.396405,1.454510,-0.609650,3.411852,1.460672
5.394890,4.458853,1.479032,-0.603579,3.474671,1.484118
5.400024,4.522687,1.499397,-0.598760,3.538609,1.504206
5.403888,4.586429,1.519085,-0.595299,3.600991,1.526141
5.405946,4.645569,1.548963,-0.593638,3.661923,1.554150
5.406825,4.711507,1.562269,-0.592989,3.719468,1.564386
5.406715,4.775944,1.580665,-0.593366,3.791679,1.585576
5.405363,4.839338,1.601455,-0.595057,3.855088,1.606943
5.402632,4.902988,1.622960,-0.598107,3.918411,1.628608
5.398600,4.963540,1.649275,-0.602557,3.978865,1.655952
5.392822,5.028545,1.660452,-0.608475,4.044739,1.657589
5.387379,5.093937,1.649142,-0.613775,4.110464,1.648496
5.382227,5.160350,1.647323,-0.618848,4.176446,1.644494
5.377712,5.225269,1.634258,-0.623137,4.241414,1.630941
5.374072,5.290163,1.620355,-0.626510,4.305888,1.615486
5.371867,5.345648,1.603328,-0.628395,4.360109,1.596417
5.371030,5.402702,1.570226,-0.628718,4.416790,1.561515
5.372197,5.459752,1.535063,-0.627035,4.474358,1.526428
5.375432,5.518531,1.500439,-0.623304,4.532826,1.491233
5.380645,5.575664,1.463113,-0.617658,4.588881,1.453002
5.387705,5.629323,1.422255,-0.609753,4.644521,1.414539
5.397872,5.690666,1.394935,-0.599225,4.705537,1.387501
5.409524,5.750437,1.364980,-0.587143,4.765113,1.357215
5.422906,5.809398,1.333869,-0.575156,4.816526,1.329760
5.437625,5.865795,1.299598,-0.558671,4.878024,1.288665
5.452479,5.914511,1.255074,-0.544054,4.924159,1.241703
5.462161,5.941688,1.202006,-0.535285,4.947618,1.191743
5.477125,5.978184,1.172946,-0.516690,4.992294,1.169087
5.502615,6.037431,1.158132,-0.490563,5.052442,1.155500
5.526105,6.090326,1.148914,-0.466964,5.105187,1.145672
5.553378,6.149906,1.135385,-0.439678,5.164229,1.130867
5.580834,6.207383,1.116795,-0.412080,5.221282,1.111266
5.608832,6.262978,1.094015,-0.384075,5.276074,1.086782
5.637201,6.315746,1.065137,-0.355097,5.329058,1.058089
5.668145,6.369600,1.037540,-0.323158,5.383813,1.034025
5.702302,6.426921,1.032193,-0.289018,5.440989,1.029844
5.736560,6.483538,1.022150,-0.254628,5.497468,1.019344
5.771365,6.539634,1.010890,-0.219647,5.553499,1.008227
5.806880,6.595536,1.000906,-0.183929,5.609465,1.000527
5.842960,6.651773,0.999740,-0.147835,5.665694,0.999449
5.879067,6.707906,0.998283,-0.111775,5.721672,0.996382
5.915144,6.763363,0.990352,-0.075622,5.776979,0.987855
5.951488,6.818122,0.979876,-0.039294,5.831370,0.975954
5.987876,6.871334,0.963900,-0.002852,5.884184,0.958982
6.024787,6.923247,0.944512,0.034700,5.936491,0.942248
6.063669,6.976914,0.946138,0.073619,5.990331,0.945933
6.102639,7.030903,0.945733,0.112277,6.043910,0.948549
6.140081,7.083615,0.959862,0.149368,6.096570,0.964348
6.176224,7.136373,0.977620,0.185513,6.149816,0.981270
6.212386,7.190984,0.991719,0.221622,6.204730,0.993868
6.248390,7.246647,1.000547,0.257483,6.260449,1.002979
6.283785,7.302533,1.010468,0.292714,6.316389,1.013180
6.318493,7.358655,1.021557,0.327249,6.372581,1.024449
6.352377,7.414882,1.033706,0.360676,6.428453,1.038165
6.384495,7.470103,1.051599,0.392749,6.484159,1.055365
6.416405,7.527067,1.066757,0.424435,6.541226,1.070597
6.447468,7.584575,1.081624,0.455444,6.599099,1.083583
6.478360,7.643239,1.089873,0.486089,6.657594,1.092836
6.508263,7.701493,1.101766,0.515941,6.716160,1.103777
6.538017,7.760885,1.109307,0.545653,6.775689,1.109475
6.567721,7.820667,1.110376,0.575285,6.835395,1.111797
6.597027,7.880238,1.116376,0.600873,6.887553,1.117108
6.625987,7.940018,1.122827,0.633363,6.954845,1.124593
6.654441,7.999894,1.130663,0.661563,7.014517,1.133746
6.681802,8.059079,1.143363,0.688686,7.073686,1.146949
6.708194,8.118285,1.158017,0.714876,7.133039,1.161941
6.730585,8.170571,1.172137,0.737195,7.185718,1.174641
6.755991,8.231740,1.180764,0.762329,7.246592,1.184197
6.780220,8.292037,1.194709,0.786498,7.307319,1.196869
6.807309,8.361703,1.202738,0.813533,7.377128,1.202874
6.831327,8.424035,1.203381,0.837541,7.439469,1.203523
6.855282,8.486356,1.204403,0.861429,7.501698,1.205862
6.878869,8.548451,1.210074,0.884981,7.563918,1.210250
6.899482,8.603143,1.210677,0.905587,7.618615,1.210816
6.925933,8.673480,1.211357,0.932027,7.688957,1.211463
6.949326,8.735811,1.211268,0.955262,7.750773,1.208268
6.969592,8.788636,1.198695,0.975744,7.803529,1.194883
6.993720,8.848924,1.183820,1.000274,7.864221,1.182616
7.019025,8.910758,1.181846,1.025530,7.925936,1.183078
7.047051,8.979902,1.188843,1.053500,7.995243,1.189084
7.071922,9.041904,1.189593,1.078365,8.057247,1.189724
7.096749,9.103917,1.190182,1.103183,8.119266,1.190282
7.121469,9.165762,1.191019,1.127698,8.180691,1.193763
