est_x,est_y,est_theta,truth_x,truth_y,truth_theta
8.313073,8.189313,-1.513629,2.309987,7.284253,-1.551006
8.318231,8.177423,-1.496883,2.311576,7.247148,-1.514111
8.324537,8.121046,-1.474294,2.315881,7.192471,-1.475257
8.324921,8.073185,-1.450637,2.322353,7.138226,-1.433394
8.356866,8.009562,-1.355395,2.336234,7.058805,-1.367363
8.393223,7.939812,-1.331092,2.344254,7.022315,-1.346810
8.371190,7.870765,-1.286699,2.357093,6.969055,-1.324971
8.391944,7.832774,-1.245746,2.370948,6.916605,-1.301993
8.376302,7.774554,-1.260306,2.392619,6.843862,-1.264440
8.413154,7.726824,-1.207082,2.411839,6.786377,-1.234891
8.457571,7.637598,-1.206280,2.428866,6.740270,-1.203689
8.466729,7.603893,-1.182069,2.455631,6.675721,-1.155236
8.470932,7.527846,-1.131338,2.470799,6.643261,-1.118673
8.544164,7.474069,-1.066791,2.504462,6.578790,-1.075985
8.554208,7.403097,-1.026379,2.539424,6.515947,-1.052659
8.614752,7.337537,-1.021368,2.572329,6.459312,-1.038432
8.660302,7.277904,-1.010458,2.601650,6.410398,-1.024731
8.701535,7.239656,-1.009046,2.635917,6.355179,-1.008143
8.734195,7.217823,-1.002247,2.675434,6.294020,-0.988254
8.759576,7.145410,-1.017184,2.716181,6.233636,-0.968429
8.804353,7.052638,-0.930215,2.767895,6.160252,-0.947525
8.850120,7.059192,-0.903570,2.787430,6.133198,-0.945488
8.885501,7.029401,-0.928085,2.831021,6.072656,-0.950384
8.931919,6.960145,-0.988490,2.883168,5.998546,-0.963673
8.962588,6.913940,-1.001132,2.911693,5.957368,-0.965308
9.010719,6.824608,-0.979973,2.949691,5.902413,-0.966373
9.049973,6.787499,-0.987142,2.987618,5.847410,-0.967360
9.078591,6.724785,-0.936841,3.025498,5.792367,-0.968093
9.117558,6.692160,-0.984199,3.068075,5.730418,-0.968629
9.170881,6.658298,-0.980293,3.105901,5.675338,-0.968906
9.216150,6.616758,-0.998468,3.143722,5.620255,-0.969071
9.267615,6.527866,-0.962356,3.195716,5.544514,-0.969191
9.299211,6.448727,-0.988740,3.224072,5.503202,-0.969230
9.289346,6.393326,-0.956325,3.261877,5.448116,-0.969284
9.330828,6.373668,-0.995868,3.299679,5.393032,-0.969345
9.374273,6.300073,-1.013077,3.337474,5.337944,-0.969408
9.450659,6.206058,-0.965806,3.379994,5.275970,-0.969486
9.491761,6.157425,-1.003053,3.417788,5.220877,-0.969544
9.506955,6.070501,-0.981578,3.455580,5.165785,-0.969590
9.537607,6.044739,-0.972921,3.493368,5.110692,-0.969634
9.571450,6.025353,-0.982278,3.535878,5.048712,-0.969682
9.573394,5.923773,-1.001353,3.573660,4.993618,-0.969739
9.611240,5.876579,-0.931411,3.606718,4.945408,-0.969786
9.672732,5.838039,-0.950555,3.649216,4.883426,-0.969859
9.704293,5.786732,-0.943472,3.686990,4.828327,-0.969914
9.746888,5.715578,-0.991321,3.728968,4.766651,-0.976836
9.790540,5.669296,-1.001403,3.765644,4.711751,-0.985789
9.801490,5.616632,-0.986591,3.802354,4.656062,-0.988602
9.868848,5.565667,-1.014790,3.839059,4.600237,-0.989665
9.915365,5.516931,-0.960338,3.875697,4.544363,-0.990641
9.967738,5.448460,-0.958882,3.921428,4.474478,-0.991463
10.003881,5.379454,-0.962869,3.953413,4.425537,-0.991828
10.076086,5.321499,-0.988473,3.989956,4.369595,-0.992066
10.083430,5.260300,-0.975607,4.026490,4.313653,-0.992203
10.118528,5.212175,-0.974224,4.067587,4.250720,-0.992303
10.146996,5.126324,-0.981235,4.113236,4.180795,-0.992415
10.189615,5.074339,-0.950609,4.139761,4.139781,-1.000775
10.243976,5.031413,-1.010138,4.174327,4.084912,-1.015281
10.258195,4.969730,-1.004385,4.207929,4.029666,-1.031517
10.258178,4.920797,-1.054724,4.240765,3.973574,-1.048505
10.309010,4.863327,-1.084372,4.276656,3.909652,-1.066759
10.337671,4.810704,-1.091909,4.308042,3.851777,-1.079333
10.380733,4.747124,-1.081659,4.338749,3.793451,-1.091455
10.407560,4.716072,-1.124197,4.368729,3.734771,-1.103759
10.425941,4.655985,-1.125689,4.397806,3.675976,-1.117414
10.454296,4.616422,-1.112522,4.426194,3.616594,-1.130181
10.484152,4.551483,-1.104541,4.453865,3.556818,-1.142672
10.505156,4.463586,-1.165411,4.480611,3.496973,-1.156553
10.544364,4.403476,-1.155434,4.506331,3.437057,-1.172041
10.564078,4.317543,-1.168627,4.534625,3.368444,-1.185369
10.585712,4.233307,-1.215827,4.558767,3.307556,-1.199394
10.611427,4.169043,-1.258271,4.582082,3.246231,-1.213396
10.594822,4.116618,-1.248387,4.604772,3.184211,-1.224727
10.614563,4.070356,-1.221829,4.626877,3.121789,-1.234604
10.655812,4.011902,-1.250953,4.648756,3.058744,-1.237318
10.680828,3.958571,-1.235227,4.670315,2.995967,-1.243153
10.711516,3.867680,-1.239886,4.691210,2.933480,-1.252749
10.708411,3.818899,-1.280728,4.710938,2.871864,-1.267773
10.745140,3.762098,-1.280222,4.731125,2.804145,-1.291735
10.770062,3.691894,-1.332818,4.747873,2.742832,-1.313705
10.773130,3.603549,-1.381739,4.762950,2.682207,-1.337912
10.767758,3.491557,-1.375505,4.776353,2.621663,-1.364804
10.786501,3.404984,-1.397142,4.789527,2.552915,-1.394711
10.798519,3.362583,-1.431831,4.799208,2.492797,-1.424339
10.795056,3.296752,-1.458595,4.806540,2.435806,-1.458472
10.814799,3.221582,-1.547560,4.812519,2.373647,-1.484292
10.808908,3.158562,-1.534613,4.817871,2.301508,-1.506495
10.836675,3.157447,-1.541264,4.821376,2.236818,-1.524322
10.836572,3.097997,-1.559103,4.823684,2.172425,-1.543575
10.825527,3.036891,-1.557173,4.824669,2.100969,-1.568125
10.828936,2.947029,-1.591690,4.823972,2.038081,-1.592443
10.845035,2.894310,-1.636081,4.821712,1.975799,-1.618585
10.831239,2.844723,-1.671760,4.817270,1.907959,-1.651072
10.831263,2.773916,-1.708375,4.811636,1.852115,-1.687131
10.840569,2.704160,-1.725144,4.804408,1.798102,-1.711053
10.808652,2.616834,-1.752315,4.793823,1.723687,-1.712752
10.753032,2.546301,-1.719692,4.782936,1.649843,-1.721230
10.780542,2.512813,-1.717708,4.772853,1.583807,-1.722819
10.759584,2.470112,-1.737702,4.762698,1.517773,-1.723865
10.741914,2.421558,-1.732221,4.752398,1.452091,-1.728941
10.763512,2.340615,-1.696497,4.741767,1.386231,-1.731471
10.728367,2.253775,-1.736522,4.729692,1.312046,-1.732626
10.698177,2.168815,-1.729513,4.718884,1.246115,-1.733448
10.698720,2.143561,-1.731598,4.708263,1.180529,-1.728634
10.680107,2.063931,-1.696896,4.698195,1.115302,-1.719992
10.691220,1.981075,-1.703865,4.688726,1.050059,-1.710447
10.676520,1.895466,-1.696558,4.678916,0.976750,-1.697881
10.679847,1.835167,-1.664120,4.671013,0.911344,-1.685999
10.663565,1.767131,-1.676472,4.663937,0.846132,-1.673225
10.635963,1.710831,-1.672594,4.657743,0.780890,-1.659467
10.672532,1.611180,-1.625873,4.652505,0.715750,-1.644667
10.628559,1.532242,-1.610893,4.648239,0.650447,-1.630323
10.596338,1.470471,-1.614081,4.644352,0.576334,-1.617552
10.576505,1.399881,-1.579522,4.641703,0.510432,-1.606108
10.576458,1.359696,-1.582536,4.640034,0.452879,-1.595346
10.627746,1.288986,-1.609671,4.638742,0.378631,-1.582885
10.643245,1.214865,-1.573098,4.638366,0.312632,-1.571753
10.618463,1.174517,-1.555788,4.638754,0.246719,-1.560094
10.628508,1.093370,-1.526004,4.639991,0.172207,-1.549670
10.642097,1.013717,-1.529776,4.641732,0.105925,-1.540859
10.633485,0.972373,-1.512455,4.643855,0.039230,-1.538663
10.644006,0.907659,-1.541555,4.646023,-0.027537,-1.538023
10.663154,0.820109,-1.532147,4.648239,-0.094303,-1.537461
10.664985,0.758077,-1.541846,4.650615,-0.160718,-1.532553
10.658101,0.688772,-1.530304,4.652888,-0.219117,-1.531664
10.656286,0.594473,-1.500196,4.656383,-0.302100,-1.525244
10.655769,0.554298,-1.484632,4.659613,-0.368448,-1.519081
10.647253,0.458931,-1.497055,4.663153,-0.435100,-1.517379
10.677350,0.409137,-1.479537,4.666740,-0.501806,-1.516751
10.699784,0.333220,-1.501597,4.670375,-0.568510,-1.516232
10.694095,0.268146,-1.538517,4.672010,-0.608038,-1.534201
10.697746,0.261054,-1.572095,4.674652,-0.608799,-1.556405
10.681383,0.259938,-1.551366,4.674778,-0.608834,-1.557407
10.702932,0.280017,-1.558700,4.674790,-0.608838,-1.557497
10.704870,0.283819,-1.588174,4.674800,-0.608841,-1.557577
10.693253,0.287163,-1.550275,4.674805,-0.608842,-1.557624
10.691163,0.299600,-1.569648,4.674806,-0.608842,-1.557630
10.685101,0.267284,-1.536423,4.674809,-0.608842,-1.557645
10.664312,0.307331,-1.498556,4.674814,-0.608844,-1.557693
10.672272,0.305099,-1.524732,4.674826,-0.608848,-1.557779
10.671130,0.318283,-1.576492,4.674833,-0.608850,-1.557835
10.684937,0.304629,-1.552849,4.674840,-0.608852,-1.557897
10.693914,0.288491,-1.569065,4.674845,-0.608853,-1.557935
10.693638,0.318771,-1.553541,4.674853,-0.608855,-1.557993
10.663034,0.336570,-1.545520,4.674859,-0.608857,-1.558043
10.642510,0.347969,-1.544917,4.674867,-0.608859,-1.558109
10.646985,0.332911,-1.567493,4.674869,-0.608860,-1.558123
10.654025,0.368507,-1.573563,4.674874,-0.608861,-1.558163
10.677612,0.360727,-1.573843,4.674881,-0.608863,-1.558220
10.667751,0.358470,-1.523186,4.674877,-0.608862,-1.558192
10.691765,0.394731,-1.543562,4.674881,-0.608863,-1.558233
10.684601,0.382953,-1.563065,4.674898,-0.608868,-1.558344
10.670667,0.360530,-1.559251,4.674905,-0.608870,-1.558401
10.652432,0.384284,-1.577363,4.674907,-0.608871,-1.558431
10.653179,0.401877,-1.574390,4.674916,-0.608873,-1.558496
10.666309,0.351614,-1.550745,4.674922,-0.608875,-1.558551
10.677748,0.366321,-1.513238,4.674926,-0.608875,-1.558574
10.668917,0.358329,-1.556579,4.674933,-0.608878,-1.558639
10.664992,0.393265,-1.538009,4.674937,-0.608879,-1.558664
10.674108,0.353216,-1.584282,4.674946,-0.608882,-1.558737
10.684186,0.368839,-1.566956,4.674945,-0.608882,-1.558741
10.676448,0.371373,-1.541481,4.674953,-0.608883,-1.558791
10.705372,0.352797,-1.552513,4.674961,-0.608886,-1.558862
10.734763,0.383679,-1.583491,4.674974,-0.608889,-1.558961
10.713911,0.384629,-1.581099,4.674984,-0.608892,-1.559039
10.685545,0.405587,-1.545380,4.674989,-0.608894,-1.559075
10.691110,0.389285,-1.527366,4.674991,-0.608894,-1.559089
10.695347,0.416958,-1.558479,4.674996,-0.608895,-1.559131
10.679189,0.375470,-1.576929,4.674996,-0.608895,-1.559135
10.697033,0.382951,-1.569117,4.675008,-0.608899,-1.559228
10.701843,0.391548,-1.588988,4.675011,-0.608900,-1.559259
10.719250,0.380924,-1.595410,4.675022,-0.608903,-1.559338
10.703805,0.377787,-1.590535,4.675024,-0.608904,-1.559356
10.696738,0.370737,-1.568504,4.675025,-0.608903,-1.559355
10.683976,0.383014,-1.573276,4.675023,-0.608903,-1.559345
10.697759,0.390662,-1.576418,4.675028,-0.608905,-1.559399
10.679707,0.399315,-1.537081,4.675040,-0.608908,-1.559485
10.678279,0.412383,-1.556975,4.675046,-0.608910,-1.559530
10.685884,0.408303,-1.571488,4.675047,-0.608910,-1.559534
10.672837,0.382038,-1.582159,4.675047,-0.608910,-1.559538
10.654250,0.379795,-1.566471,4.675053,-0.608912,-1.559588
10.648361,0.370595,-1.549275,4.675059,-0.608913,-1.559628
10.657217,0.362740,-1.579413,4.675072,-0.608917,-1.559737
10.644994,0.350963,-1.572208,4.675078,-0.608919,-1.559785
10.649469,0.386234,-1.569759,4.675084,-0.608921,-1.559827
10.671957,0.379837,-1.528986,4.675085,-0.608921,-1.559844
10.694463,0.385602,-1.534150,4.675094,-0.608923,-1.559903
10.722534,0.391766,-1.564466,4.675096,-0.608924,-1.559930
10.710727,0.404257,-1.578450,4.675102,-0.608926,-1.559983
10.705159,0.385091,-1.552030,4.675105,-0.608927,-1.559999
10.670631,0.371846,-1.532285,4.675110,-0.608928,-1.560045
10.675252,0.369010,-1.584743,4.675115,-0.608929,-1.560081
10.665307,0.383236,-1.535061,4.675122,-0.608932,-1.560129
10.689305,0.361415,-1.549405,4.675131,-0.608934,-1.560209
10.723133,0.324304,-1.561015,4.675140,-0.608936,-1.560271
10.708359,0.362961,-1.524100,4.675151,-0.608940,-1.560366
10.685738,0.368989,-1.554990,4.675153,-0.608940,-1.560386
10.667634,0.378962,-1.561801,4.675159,-0.608941,-1.560427
10.680618,0.382689,-1.555865,4.675164,-0.608943,-1.560467
10.667286,0.392714,-1.575994,4.675177,-0.608947,-1.560562
10.673141,0.400950,-1.559197,4.675186,-0.608950,-1.560638
10.662734,0.411813,-1.550468,4.675200,-0.608953,-1.560751
10.670037,0.434798,-1.543737,4.675206,-0.608955,-1.560804
10.660287,0.414581,-1.573182,4.675219,-0.608959,-1.560905
10.682579,0.425762,-1.585196,4.675220,-0.608959,-1.560922
10.685388,0.403805,-1.564407,4.675228,-0.608961,-1.560978
10.682625,0.373878,-1.572962,4.675233,-0.608962,-1.561019
10.705262,0.350171,-1.554403,4.675244,-0.608967,-1.561108
10.692396,0.342338,-1.561322,4.675251,-0.608968,-1.561160
10.697065,0.366612,-1.583695,4.675254,-0.608969,-1.561175
10.702351,0.367888,-1.596952,4.675255,-0.608969,-1.561199
10.686588,0.399487,-1.551143,4.675267,-0.608972,-1.561288
10.664929,0.392290,-1.562286,4.675279,-0.608976,-1.561381
10.646304,0.404707,-1.582349,4.675289,-0.608979,-1.561463
10.660095,0.393414,-1.583804,4.675306,-0.608984,-1.561599
10.656998,0.399888,-1.550678,4.675306,-0.608984,-1.561599
10.678862,0.397111,-1.556991,4.675314,-0.608986,-1.561657
10.683668,0.382411,-1.590961,4.675315,-0.608986,-1.561669
10.719946,0.374357,-1.597722,4.675315,-0.608986,-1.561669
10.692801,0.356390,-1.584266,4.675316,-0.608986,-1.561671
10.693056,0.354232,-1.539384,4.675320,-0.608988,-1.561705
10.688269,0.370381,-1.561251,4.675326,-0.608989,-1.561746
10.680895,0.386046,-1.574962,4.675335,-0.608992,-1.561831
10.701612,0.389961,-1.566302,4.675338,-0.608993,-1.561850
10.713753,0.421727,-1.566156,4.675342,-0.608994,-1.561880
10.693316,0.408023,-1.542677,4.675345,-0.608995,-1.561906
10.696246,0.412755,-1.543642,4.675360,-0.608999,-1.562023
10.701852,0.427784,-1.538750,4.675369,-0.609002,-1.562093
